"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @8___Tristan___8: Trump is scared of Elizabeth Warren but not Bernie so Trump tells the MAGAs to vote for Bernie in South Carolina tomor…",FALSE,0,NA,2020-02-29 14:57:08,FALSE,NA,"1233768170537836544",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","samanthaejacobi",27,TRUE,FALSE,NA,NA
"@howardfineman @BernieSanders Bernie, like trump, is too extreme; too divisive. Medicare for all is not universally… https://t.co/TXMjshsdre",FALSE,0,"howardfineman",2020-02-29 14:57:08,TRUE,"1233582508350070786","1233768170495905792","14962779","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","colleens8844291",0,FALSE,FALSE,NA,NA
"RT @JordanChariton: Superdelegate @JayJacobs28-1 of 90 we already know want 2 block @BernieSanders at @DNC convention-is lying 

Sanders di…",FALSE,0,NA,2020-02-29 14:57:08,FALSE,NA,"1233768170365825025",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","KangarooCaught",28,TRUE,FALSE,NA,NA
"RT @ggreenwald: This Boston Globe column says Sanders' attempt to win the Massachusetts primary is \"very disrespectful\" to Sen. Warren, a f…",FALSE,0,NA,2020-02-29 14:57:08,FALSE,NA,"1233768169736589313",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","aaronwall",93,TRUE,FALSE,NA,NA
"Why Bernie Scares Me https://t.co/d8Ko4FnVAA",FALSE,0,NA,2020-02-29 14:57:08,FALSE,NA,"1233768169694748672",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","peacetou",0,FALSE,FALSE,NA,NA
"RT @realDonaldTrump: To the people of South Carolina, Tom Steyer is a joke, laughed at by everyone, a total incompetent. He made money in c…",FALSE,0,NA,2020-02-29 14:57:08,FALSE,NA,"1233768169401176064",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","VedanticFlaneur",17778,TRUE,FALSE,NA,NA
"RT @lizburgh: An easier summary to read:

Number of donations to Bernie 2016 in the following amounts:
<U+2705>$14.01 (0)
<U+2705>$14.02 (0)
<U+2714>$14.03 (3,5…",FALSE,0,NA,2020-02-29 14:57:08,FALSE,NA,"1233768169132711938",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","alybraly",36,TRUE,FALSE,NA,NA
"RT @AP_Politics: A political group founded by Bernie Sanders entered into a nondisclosure agreement with an African American political cons…",FALSE,0,NA,2020-02-29 14:57:08,FALSE,NA,"1233768168826507264",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","clearview22",1061,TRUE,FALSE,NA,NA
"RT @krystalball: Let’s be clear abt what this PAC is. It’s a stop Bernie PAC. Warren isnt projected to win a single state. Do u really thin…",FALSE,0,NA,2020-02-29 14:57:08,FALSE,NA,"1233768168331468800",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","RealSligonian",2188,TRUE,FALSE,NA,NA
"@JaniceClaire14 @missbike @claes69 @DianeMcKenna20 @leu2500 @Denisemarie85 @JohnMTalmadgeMD No, he's old, but Berni… https://t.co/3ef4wsqCsp",FALSE,0,"JaniceClaire14",2020-02-29 14:57:08,TRUE,"1233610026855653376","1233768168071585794","1022524121119444992","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","LockjawVerity",0,FALSE,FALSE,NA,NA
