"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @EnemyOfBoth: The Bernie Biden debates are going to be wild, not least of all because: there's now no longer other people to soak up tim…",FALSE,0,NA,2020-03-05 01:52:48,FALSE,NA,"1235382726204837888",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JakeSchrank",193,TRUE,FALSE,NA,NA
"@reilyseanconn @ContentedIndie @TeamJoe I think Joe Biden’s plans have a much greater chance of passing Congress. B… https://t.co/1MjqOl788o",FALSE,0,"reilyseanconn",2020-03-05 01:52:48,TRUE,"1235381436628242432","1235382726146109442","139596582","<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","rick_hennig",0,FALSE,FALSE,NA,NA
"@werocktheplanet @natebaran @DanRiffle It's not impossible, but \"Bernie is a secret sexist\" is a lot less believabl… https://t.co/APSxvSFETw",FALSE,0,"werocktheplanet",2020-03-05 01:52:48,TRUE,"1235382334729437185","1235382725927792641","35196174","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","MrPaycho",0,FALSE,FALSE,NA,NA
"RT @BetteMidler: One of the tragedies of #Bloomberg leaving the race is his extraordinary support for sensible gun control laws.  I pray th…",FALSE,0,NA,2020-03-05 01:52:48,FALSE,NA,"1235382725797912576",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JamesM0ncrief",41,TRUE,FALSE,NA,NA
"RT @WaywardWinifred: Joe Biden: \"I think it went too far. I don’t think that a woman has the sole right to say what should happen to her bo…",FALSE,0,NA,2020-03-05 01:52:48,FALSE,NA,"1235382725793722370",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","maddsswillard",2726,TRUE,FALSE,NA,NA
"RT @conservelatino: I want to SHOUT this tweet far and wide, so please help if you can by RETWEETING:

California casted votes proportionat…",FALSE,0,NA,2020-03-05 01:52:48,FALSE,NA,"1235382725693108227",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","magacat2018",840,TRUE,FALSE,NA,NA
"RT @MyFriendCamilo: If you look at Bernie supporters and see only angry white men and don't see AOC and Ilhan and Rashida and black women w…",FALSE,0,NA,2020-03-05 01:52:48,FALSE,NA,"1235382725667885062",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ThaeInTwilight",11755,TRUE,FALSE,NA,NA
"Bernie Sanders vs Donald Trump | Archenemies https://t.co/M2f7Z3Fmbv via @YouTube",FALSE,0,NA,2020-03-05 01:52:48,FALSE,NA,"1235382725416230913",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","o0Shadowfire0o",0,FALSE,FALSE,NA,NA
"@DavidCornDC @BernieSanders Hillary lost in 2016 so what happened? I’m with the Warren/Sanders option",FALSE,0,"DavidCornDC",2020-03-05 01:52:48,FALSE,"1235318149282701313","1235382725252714497","15220768","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","mbraganca",0,FALSE,FALSE,NA,NA
"RT @difermusik: One picture, a thousand words.
#Bernie2020 #BernieForPresident #BernieOrBust #SuperTuesday https://t.co/RMdB2vUHkU",FALSE,0,NA,2020-03-05 01:52:48,FALSE,NA,"1235382725164642305",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","GrolarBearsins",3947,TRUE,FALSE,NA,NA
