"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @scottdesno: @FidelisCare @NYHPA @Centene @Independent @MichaelNeidorff @BernieSanders @RoKhanna @NYHCampaign @ThearseForNY @HCNow @chuc…",FALSE,0,NA,2020-02-28 12:09:20,FALSE,NA,"1233363552133513217",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MockingSpongeBb",6,TRUE,FALSE,NA,NA
"RT @AndrewPollackFL: Latina Trump supporter has a wake up call for the American people:

“The policies Bernie Sanders supports didn’t work…",FALSE,0,NA,2020-02-28 12:09:20,FALSE,NA,"1233363551382855680",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","soldeoro7",2309,TRUE,FALSE,NA,NA
"RT @MalcolmNance: WARNING:Trump will use real video to frame Bernie as a “communist” &amp; it’ll be SAVAGE. Video of surveillance in Putin’s KG…",FALSE,0,NA,2020-02-28 12:09:20,FALSE,NA,"1233363551101870080",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","ArtsyOma",591,TRUE,FALSE,NA,NA
"-1 for South Carolina WORKERS! Go Bernie Sanders! 
#BernieSanders2020 #BernieWon #SouthCarolinaforBernie https://t.co/RtHFJVtOC5",FALSE,0,NA,2020-02-28 12:09:19,FALSE,NA,"1233363550464331777",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BernieS90624008",0,FALSE,FALSE,NA,NA
"RT @bright1950start: The population of Vermont is so heavily white that the NAACP didn’t establish a branch in the state until 2015. Progre…",FALSE,0,NA,2020-02-28 12:09:19,FALSE,NA,"1233363550086815744",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AVD911",1,TRUE,FALSE,NA,NA
"RT @keepinitboopin: Without immigrants America would be nothing.
And now only Bernie can save this country. #Bernie2020 
#immigrantsMatter…",FALSE,0,NA,2020-02-28 12:09:19,FALSE,NA,"1233363548908093442",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","CatladyHanna",5,TRUE,FALSE,NA,NA
"@BonspageB @JessieLivermore @BernieSanders But now your stock has tanked. Wondering why? Look at the White House. T… https://t.co/VBJlKiTbIm",FALSE,0,"BonspageB",2020-02-28 12:09:19,TRUE,"1232779763653206026","1233363548547366913","760067695878569984","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","nadineliberty4",0,FALSE,FALSE,NA,NA
"RT @CatsTalkBack1: Florida man, Florida woman, Florida voters...they all seem to want their time in the spotlight. .

https://t.co/Gt389249…",FALSE,0,NA,2020-02-28 12:09:19,FALSE,NA,"1233363547981303808",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JerseyGirl_555",136,TRUE,FALSE,NA,NA
"RT @7daywrknmom: @shudnell @KHiveQueenB As if Kamala acknowledges Bernie. At all. #NobodyLikesHim Did you forget<U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923>",FALSE,0,NA,2020-02-28 12:09:19,FALSE,NA,"1233363547259834368",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","FalconYourHero",1,TRUE,FALSE,NA,NA
"RT @danprimack: New Sanders tax plan would really screw over a lot of startup employees -- would tax options at vest, rather than at exerci…",FALSE,0,NA,2020-02-28 12:09:19,FALSE,NA,"1233363546840469505",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Tnitz718",682,TRUE,FALSE,NA,NA
"RT @ColumbiaBugle: Bernie Sanders back in the day opposing Open Borders.

Bernie Sanders: “Open Borders? That’s a Koch Brothers Proposal.”…",FALSE,0,NA,2020-02-28 12:09:18,FALSE,NA,"1233363546592825344",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jhenigan_jean",1821,TRUE,FALSE,NA,NA
"RT @Scattermae777M: Communist Thief and liar, Bernie Sanders, is so ill-informed that he believes Cuba's Fidel Castro is a great man becaus…",FALSE,0,NA,2020-02-28 12:09:18,FALSE,NA,"1233363545791836161",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","elissamg1",13,TRUE,FALSE,NA,NA
"RT @joncoopertweets: Bernie Sanders voted FIVE times against the Brady bill.

Bernie Sanders voted FIVE times against the Brady bill.

Bern…",FALSE,0,NA,2020-02-28 12:09:18,FALSE,NA,"1233363544457895937",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","iwcandy2",1861,TRUE,FALSE,NA,NA
"RT @mehdirhasan: I dare you to watch this video and still say that it's Bernie Sanders who is the one with a dictator problem - and not his…",FALSE,0,NA,2020-02-28 12:09:18,FALSE,NA,"1233363544353263616",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","theFipi",3783,TRUE,FALSE,NA,NA
"RT @anishareddy02: today, I got my mom to vote for bernie in north carolina. she’s a doctor, and tells me that the most important issue to…",FALSE,0,NA,2020-02-28 12:09:18,FALSE,NA,"1233363544101380096",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","azjillybean",47,TRUE,FALSE,NA,NA
"RT @dbongino: If you like waiting in interminable lines in the ER, the hospital, the doctor’s office, and the clinic then Bernie Sanders’ g…",FALSE,0,NA,2020-02-28 12:09:18,FALSE,NA,"1233363543124324353",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Joe69905180",5118,TRUE,FALSE,NA,NA
"RT @WLD01: @Paul_VanDerMeer Bernie Sanders is a independent socialist leech and a parasite that brings nothing and wants everything. He's a…",FALSE,0,NA,2020-02-28 12:09:17,FALSE,NA,"1233363541404590082",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Zu13805727",22,TRUE,FALSE,NA,NA
"@BaekerBurns @ljw3464 @juanchoandonly @seanhannity There aren't enough rich people for Sanders and his Bernie-bots… https://t.co/7WytHfuE4W",FALSE,0,"BaekerBurns",2020-02-28 12:09:17,TRUE,"1233357093257859073","1233363540750348288","1124082916492042243","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Type_ur_name",0,FALSE,FALSE,NA,NA
"@BernieS90624008 @BernieSanders @SenSanders @People4Bernie Great news.  Thanks for your work!!  Solidarity.",FALSE,0,"BernieS90624008",2020-02-28 12:09:17,FALSE,"1233021691737059330","1233363540309766145","1230630830420172800","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","nick75202282",0,FALSE,FALSE,NA,NA
"RT @OvrcmplctdHstry: @BadSunAK @EmersonPolling @NXSTMediaGroup @JoeBiden @BernieSanders @PeteButtigieg @TomSteyer @amyklobuchar @ewarren @T…",FALSE,0,NA,2020-02-28 12:09:17,FALSE,NA,"1233363539152265217",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AnneLaBarbera",2,TRUE,FALSE,NA,NA
"RT @HinduAmericans: @BernieSanders Bernie, Please read this: https://t.co/LMWFKjynYT",FALSE,0,NA,2020-02-28 12:09:17,FALSE,NA,"1233363538804191232",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","sinhrann",4,TRUE,FALSE,NA,NA
"RT @joncoopertweets: Joe Biden has gained ground in Texas and is now tied with Bernie Sanders at 24% each in a new poll ahead of Super Tues…",FALSE,0,NA,2020-02-28 12:09:17,FALSE,NA,"1233363538489401345",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","mlqdinh",62,TRUE,FALSE,NA,NA
"@SethAckerman @VincentGeloso @BernieSanders Do you have any substantive rejoinder at all?",FALSE,0,"SethAckerman",2020-02-28 12:09:16,FALSE,"1233225367218991107","1233363538170798081","338849357","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","johndburger",0,FALSE,FALSE,NA,NA
"RT @ben_2_k: Incremtalism is a bad staring position for negotiations. \"M4all who want it\" doesnt work, it doesnt inspire.A Transiton of 100…",FALSE,0,NA,2020-02-28 12:09:16,FALSE,NA,"1233363537873031169",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ben_2_k",0,TRUE,FALSE,NA,NA
"RT @MalcolmNance: Does this <U+0001F447><U+0001F3FD> not sound exactly like a #MAGA2020 voter? Bernie Bros, Get over yourselves. It’s a primary, not a cult ... f…",FALSE,0,NA,2020-02-28 12:09:16,FALSE,NA,"1233363537818509313",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","GappaLeigh",144,TRUE,FALSE,NA,NA
"The math checks out. Bernie can beat Trump in the electoral college, the popular vote, and maintain down ballot ene… https://t.co/fATb2FDpHu",FALSE,0,NA,2020-02-28 12:09:16,TRUE,NA,"1233363537805893636",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","SikhFeminist",0,FALSE,FALSE,NA,NA
"RT @QAnonNotables: Fearing the selection of Bernie Sanders as the Democrats’ 2020 presidential nominee, a growing number of establishment p…",FALSE,0,NA,2020-02-28 12:09:16,FALSE,NA,"1233363537029947392",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","trueinfosekker",14,TRUE,FALSE,NA,NA
"RT @joncoopertweets: Bernie Sanders didn't mention the dark side of education in Castro's Cuba https://t.co/vcR5a4iynS",FALSE,0,NA,2020-02-28 12:09:16,FALSE,NA,"1233363536996425728",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BeingThisSandy",10,TRUE,FALSE,NA,NA
"RT @MalcolmNance: WARNING:Trump will use real video to frame Bernie as a “communist” &amp; it’ll be SAVAGE. Video of surveillance in Putin’s KG…",FALSE,0,NA,2020-02-28 12:09:16,FALSE,NA,"1233363536174354435",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","cathyob1",591,TRUE,FALSE,NA,NA
"RT @ttagaris: Gonna need you before the FEC deadline ends on Saturday, team. This is A LOT of $18 donations.

500,000 to be exact. Which ju…",FALSE,0,NA,2020-02-28 12:09:16,FALSE,NA,"1233363535784226816",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","larryhutcherson",547,TRUE,FALSE,NA,NA
"RT @Shehzad_Ind: Dear @BernieSanders I am one of those 200 million! 

It is bad enough that some political parties in India use us as a Vot…",FALSE,0,NA,2020-02-28 12:09:16,FALSE,NA,"1233363535717117952",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AD_CG",9249,TRUE,FALSE,NA,NA
"RT @lackboys3: This is fantastic work by @DanzigMD ! Read it to understand why #BernieSanders libels of @AIPAC &amp; #Israel are so dangerous.…",FALSE,0,NA,2020-02-28 12:09:16,FALSE,NA,"1233363534660198400",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","CanfieldKenny",1,TRUE,FALSE,NA,NA
"@hood_willrow @indiannetizen @MessageHindu @BernieSanders Voting for Bernie eh?   Ok, what kind of handout do you w… https://t.co/Juyvcx50nr",FALSE,0,"hood_willrow",2020-02-28 12:09:15,TRUE,"1233261730203160576","1233363532709859329","1222590252038205450","<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","coyote8787",0,FALSE,FALSE,NA,NA
