"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @hledoux74: A note on @JoeBiden and his compassion, forgive me for a long thread here.

In late July 2019, my aunt was diagnosed with St…",FALSE,0,NA,2020-02-28 12:10:02,FALSE,NA,"1233363727619153923",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Mahogany1992",1376,TRUE,FALSE,NA,NA
"RT @JoeBiden: Barack Obama was one hell of a president. https://t.co/Q7YacziNzh",FALSE,0,NA,2020-02-28 12:10:01,FALSE,NA,"1233363723454164997",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PoetLvr",3894,TRUE,FALSE,NA,NA
"@RepWilson @SpeakerPelosi “Tens of Thousands”? In the last 12 months ? 
Are we embellishing a little here? Or are y… https://t.co/K1f3OzQNbG",FALSE,0,"RepWilson",2020-02-28 12:10:00,TRUE,"1233114074654789632","1233363722711838722","234014087","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ShermanTPotter5",0,FALSE,FALSE,NA,NA
"@escapedmatrix @JoeBiden @KamalaHarris It’s a yes from me https://t.co/XuTsm7z5E6",FALSE,0,"escapedmatrix",2020-02-28 12:09:58,FALSE,"1233132091845619722","1233363710804135938","2219634652","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Shrimedianet",0,FALSE,FALSE,NA,NA
"RT @WordswithSteph: The Obama-Biden legacy is one of exceptional American achievement. Accomplishments at home &amp; around the world, these gr…",FALSE,0,NA,2020-02-28 12:09:56,FALSE,NA,"1233363703665504257",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Meemaw570",4,TRUE,FALSE,NA,NA
"RT @joncoopertweets: Raise your hand if you think a @JoeBiden/@KamalaHarris ticket would mop the floor with Trump/Pence. <U+0001F44B>
https://t.co/Ic1…",FALSE,0,NA,2020-02-28 12:09:55,FALSE,NA,"1233363700192628736",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","pc1330",6068,TRUE,FALSE,NA,NA
"@PhilipWegmann @JoeBiden I mean, he’s not wrong....",FALSE,0,"PhilipWegmann",2020-02-28 12:09:53,FALSE,"1233193577309786115","1233363693439721474","591973307","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","waitmanb",0,FALSE,FALSE,NA,NA
"RT @D_jeneration: I am a proud Member of the Democratic establishment and a proud, Obama,Biden,Clinton,Pelosi Democrat

#GoJoe
#BidenBeatsT…",FALSE,0,NA,2020-02-28 12:09:52,FALSE,NA,"1233363686988926977",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","LewisHo67218892",147,TRUE,FALSE,NA,NA
"RT @EnviroSmartGOP: @IlhanMN @JoeBiden will be yalls nominee .",FALSE,0,NA,2020-02-28 12:09:52,FALSE,NA,"1233363685634170880",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","2Disabled",0,TRUE,FALSE,NA,NA
"RT @RobertCooper58: Join Team Joe to Support Joe Biden for President

JOIN
THE TEAM
It’s time for respected leadership on the world stage—a…",FALSE,0,NA,2020-02-28 12:09:52,FALSE,NA,"1233363685499899904",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","carbonneau_mary",113,TRUE,FALSE,NA,NA
"RT @DaleMoss2: And you always had his back ... and that’s a big effing deal #RidinWithBiden #BFD https://t.co/GNtnBHGBwW",FALSE,0,NA,2020-02-28 12:09:50,FALSE,NA,"1233363679225274373",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","resan252",5,TRUE,FALSE,NA,NA
"RT @littledeekay: Can we hold the elections early? Like, say, next week? Before it’s too late? We kinda need someone with competence NOW.…",FALSE,0,NA,2020-02-28 12:09:48,FALSE,NA,"1233363668953333762",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","mismanic",513,TRUE,FALSE,NA,NA
"@realDonaldTrump WORST LOSS IN STOCK MARKET HISTORY!!! #TrumpIsAnIdiot #TrumpLies #BidenbeatsTrump #Biden2020",FALSE,0,"realDonaldTrump",2020-02-28 12:09:46,FALSE,NA,"1233363663412695040","25073877","<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","TheHorseMan65",0,FALSE,FALSE,NA,NA
"RT @joncoopertweets: In the wake of @JoeBiden's successful debate and town hall, a pro-Biden super PAC has seen a surge in contributions. T…",FALSE,0,NA,2020-02-28 12:09:45,FALSE,NA,"1233363659348312065",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BarbB0925",469,TRUE,FALSE,NA,NA
"@JoeBiden The leftist cry of safety preach panic and you need them to save you .  Gives us your guns lol ya",FALSE,0,"JoeBiden",2020-02-28 12:09:44,FALSE,"1232780170697859074","1233363652759228416","939091","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","mjo97717249",0,FALSE,FALSE,NA,NA
"And, where are you today?
Easy way to find out: make a phone call to the operator and ask, “Operator, trace this ca… https://t.co/Hxm9mVsbfH",FALSE,0,NA,2020-02-28 12:09:43,TRUE,NA,"1233363648900476930",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","piratejoe11",0,FALSE,FALSE,NA,NA
"RT @Aejlex: In Horry County SC an elderly black man tells me he and his wife support #JoeBiden, but he can't vote b/c he doesn't have a pho…",FALSE,0,NA,2020-02-28 12:09:39,FALSE,NA,"1233363634090278912",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ZNursinga",60,TRUE,FALSE,NA,NA
"@joncoopertweets @JoeBiden @KamalaHarris She’s the best.",FALSE,0,"joncoopertweets",2020-02-28 12:09:39,FALSE,"1233103313446543361","1233363632723025920","27493883","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","turbogeezer",0,FALSE,FALSE,NA,NA
"RT @DaleMoss2: And you always had his back ... and that’s a big effing deal #RidinWithBiden #BFD",FALSE,0,NA,2020-02-28 12:09:38,FALSE,NA,"1233363626733588483",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","DaleMoss2",5,TRUE,FALSE,NA,NA
"RT @bohemiantoo: The presidential candidates that love and praise dictators most are: @JoeBiden @MikeBloomberg and @realDonaldTrump https:/…",FALSE,0,NA,2020-02-28 12:09:36,FALSE,NA,"1233363621809475584",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","VintageQueen54",6,TRUE,FALSE,NA,NA
